,City,Value
86,"Greeley, CO",15
87,"Loveland, CO",15
88,"Long Beach, CA",15
89,"Downey, CA",15
90,"Carson, CA",16
91,"Lakewood, CA",16
92,"Bellflower, CA",16
93,"Nampa, ID",16
94,"Meridian, ID",16
95,"Fishers, IN",16
96,"Columbia, MD",17
97,"Tampa, FL",17
98,"Riverview, FL",17
99,"Santa Fe, NM",17
100,"Concord, NC",17
101,"Escondido, CA",17
102,"Chandler, AZ",18
103,"Gilbert, AZ",18
104,"Tucson, AZ",18
105,"Phoenix, AZ",18
106,"Tempe, AZ",18
107,"Boulder, CO",18
108,"Casas Adobes, AZ",18
109,"Avondale, AZ",19
110,"Goodyear, AZ",19
111,"Palm Coast, FL",19
112,"Pueblo, CO",19
113,"Odessa, TX",19
114,"Suffolk, VA",20
115,"Thousand Oaks, CA",20
116,"Torrance, CA",20
117,"Redondo Beach, CA",20
118,"Fontana, CA",20
119,"Grand Prairie, TX",20
120,"Rancho Cucamonga, CA",20
121,"Ontario, CA",20
122,"Upland, CA",20
123,"Las Vegas, NV",21
124,"Sunrise Manor, NV",21
125,"Spring Valley, NV",21
126,"Enterprise, NV",21
127,"Yakima, WA",22
128,"Oxnard, CA",22
129,"Ventura, CA",22
130,"Fresno, CA",22
131,"Clovis, CA",22
132,"Redding, CA",23
133,"Johns Creek, GA",23
134,"Mesa, AZ",23
135,"Bend, OR",23
136,"Santa Ana, CA",23
137,"Irvine, CA",23
138,"Orange, CA",23
139,"Costa Mesa, CA",23
140,"Mission Viejo, CA",24
141,"Newport Beach, CA",24
142,"Lake Forest, CA",24
143,"Tustin, CA",24
144,"Paradise, NV",25
145,"Wichita Falls, TX",25
146,"Provo, UT",25
147,"Orem, UT",25
148,"Santa Barbara, CA",25
149,"Chico, CA",25
150,"Huntington Beach, CA",26
151,"Westminster, CA",26
152,"Kennewick, WA",26
153,"Redwood City, CA",26
154,"Mesquite, TX",26
155,"San Jose, CA",26
156,"Santa Clara, CA",26
157,"Milpitas, CA",27
158,"Charleston, SC",27
159,"Beaumont, TX",27
160,"Silver Spring, MD",27
161,"Fremont, CA",27
162,"Carlsbad, CA",28
163,"Vista, CA",28
164,"San Angelo, TX",28
165,"San Marcos, CA",28
166,"Union City, CA",28
167,"Hayward, CA",28
168,"El Paso, TX",29
169,"Mount Pleasant, SC",29
170,"Fairfield, CA",29
171,"West Valley, UT",29
172,"West Jordan, UT",29
173,"Sandy, UT",29
174,"Columbia, SC",30
175,"Huntsville, AL",30
176,"Boise, ID",30
177,"Oceanside, CA",30
178,"Lake Charles, LA",30
179,"Flagstaff, AZ",30
180,"Lehigh Acres, FL",31
181,"Cape Coral, FL",31
182,"Portsmouth, VA",31
183,"Kearney, NE",31
184,"Gastonia, NC",31
185,"Ogden, UT",31
186,"Spring Hill, FL",32
187,"Norman, OK",32
188,"Reno, NV",32
189,"Sparks, NV",32
190,"Abilene, TX",32
191,"Orlando, FL",32
192,"Alafaya, FL",32
193,"Chula Vista, CA",33
194,"Tulsa, OK",33
195,"Broken Arrow, OK",33
196,"Greenville, NC",33
197,"Santa Rosa, CA",33
198,"Deltona, FL",34
199,"Germantown, MD",34
200,"Denton, TX",34
201,"Laredo, TX",34
202,"Fort Worth, TX",34
203,"Pembroke Pines, FL",34
204,"Miramar, FL",34
205,"Davie, FL",34
206,"Weston, FL",34
207,"Rock Hill, SC",35
208,"Garland, TX",35
209,"San Diego, CA",35
210,"Santa Clarita, CA",36
211,"Simi Valley, CA",36
212,"Joliet, IL",36
213,"Oklahoma City, OK",36
214,"Edmond, OK",36
215,"Jackson, MS",36
216,"Edinburg, TX",37
217,"McKinney, TX",37
218,"Allen, TX",37
219,"Casper, WY",37
220,"Vallejo, CA",37
221,"Napa, CA",37
222,"Hoover, AL",38
223,"Augusta, GA",38
224,"Arlington, TX",38
225,"Albuquerque, NM",38
226,"Gainesville, FL",38
227,"Hialeah, FL",38
228,"Miami Gardens, FL",38
229,"Medford, OR",39
230,"Albany, GA",39
231,"Winston-Salem, NC",39
232,"Independence, MO",39
233,"Salinas, CA",39
234,"Lynchburg, VA",40
235,"McAllen, TX",40
236,"Saint Petersburg, FL",40
237,"Mission, TX",40
238,"Pharr, TX",40
239,"Rock Springs, WY",40
240,"Rochester, MI",41
241,"Sterling Heights, MI",41
242,"Troy, MI",41
243,"Southfield, MI",41
244,"Athens-Clarke, GA",41
245,"Macon, GA",41
246,"Shreveport, LA",42
247,"Fort Smith, AR",42
248,"Lakeland, FL",42
249,"Columbus, GA",42
250,"Clearwater, FL",42
251,"Largo, FL",42
252,"Atlanta, GA",43
253,"Sandy Springs, GA",43
254,"Tuscaloosa, AL",43
255,"Amarillo, TX",43
256,"Palm Bay, FL",43
257,"Melbourne, FL",43
258,"Temple, TX",44
259,"Santa Maria, CA",44
260,"Missouri City, TX",44
261,"Overland Park, KS",44
262,"Kansas City, KS",44
263,"Colorado Springs, CO",44
264,"Honolulu, HI",45
265,"Pearl City, HI",45
266,"East Honolulu, HI",45
267,"Kansas City, MO",45
268,"Topeka, KS",45
269,"Plano, TX",45
270,"Frisco, TX",45
271,"Carrollton, TX",45
272,"Richardson, TX",45
273,"Fayetteville, AR",46
274,"Rapid City, SD",46
275,"Dothan, AL",46
