City,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points
"MARSHFIELD, WI",0.6,0.3,4.0,0.2,12.6,3.0,,,,,,,2.0,1.5,2.9,2.0
"ASHLAND, WI",0.4,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"ORONO, ME",0.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4
"TRAVERSE CITY, MI",1.0,0.6,3.0,0.2,7.4,4.0,,,,,,,1.5,2.0,2.9,2.0
"BEND, OR",2.2,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3
"BELLINGHAM, WA",2.2,0.3,4.0,0.4,2.8,4.0,,,,,,,2.0,2.0,2.9,2.2
"TUSTIN, CA",3.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3
"GOLDEN, CO",1.0,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.9,2.2
"BROOKINGS, SD",0.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4
"FORT COLLINS, CO",7.0,0.4,4.0,0.4,0.7,4.0,41.0,2.6,3.0,10.0,18.4,4.0,3.5,4.0,3.4,3.7
"GRAND FORKS, ND",1.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"BRATTLEBORO, VT",1.4,2.0,1.0,0.0,0.0,5.0,,,,,,,0.5,2.5,2.5,1.7
"WATERLOO, WI",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0
"IOWA CITY, IA",2.0,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3
"PALO ALTO, CA",2.6,0.4,4.0,0.4,1.5,4.0,,,,,,,2.0,2.0,3.0,2.2
"BOZEMAN, MT",0.8,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"LOS ALTOS, CA",0.4,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.1,2.4
"HILLSBORO, OR",2.8,0.3,4.0,0.0,0.0,5.0,63.0,6.2,1.0,1.0,11.5,4.0,2.5,4.5,,2.8
"HELENA, MT",0.4,0.1,4.0,0.2,5.6,4.0,,,,,,,2.0,2.0,,1.6
"BRECKENRIDGE, CO",0.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.5,2.5
"KEY WEST, FL",5.0,2.0,1.0,0.4,2.1,4.0,,,,,,,0.5,2.0,2.7,1.5
"SANTA CRUZ, CA",2.0,0.3,4.0,0.2,0.7,4.0,,,,,,,2.0,2.0,2.4,2.1
"REXBURG, ID",0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"LARAMIE, WY",1.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4
"OLYMPIA, WA",2.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.4,2.3
"KEENE, NH",2.6,1.1,2.0,0.2,7.0,4.0,,,,,,,1.0,2.0,2.9,1.8
"STEAMBOAT SPRINGS, CO",0.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.2,2.4
"CLEMSON, SC",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,2.2,2.4
"NORTHAMPTON, MA",0.8,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.1,2.4
"ATHENS, OH",1.2,0.5,3.0,0.0,0.0,5.0,8.0,3.3,2.0,0.0,0.0,5.0,2.5,5.0,3.1,3.6
"MILL VALLEY, CA",0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"MURFREESBORO, TN",10.2,0.8,3.0,0.2,6.4,4.0,,,,,,,1.5,2.0,2.0,1.8
"FALMOUTH, MA",2.6,7.2,0.0,0.0,0.0,5.0,,,,,,,0.0,2.5,2.9,1.6
"WINTHROP, WA",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0
"REDDING, CA",8.0,0.9,2.0,0.6,14.3,3.0,,,,,,,1.0,1.5,2.4,1.5
"WICHITA, KS",34.6,0.9,2.0,0.6,9.5,3.0,,,,,,,1.0,1.5,2.5,1.5
"BOULDER, CO",1.6,0.2,4.0,0.4,0.7,4.0,60.0,5.6,1.0,21.5,35.9,3.0,2.5,3.5,2.9,3.0
"SANTA BARBARA, CA",3.8,0.4,4.0,0.2,0.9,4.0,39.0,4.3,1.0,13.0,60.3,2.0,2.5,3.0,2.7,2.7
"QUINCY, IL",2.6,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.6,2.1
"FORT SMITH, AR",6.2,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.2,2.0
"QUEENS, NY",77.0,0.3,4.0,4.0,7.1,4.0,900.5,3.8,2.0,51.5,91.0,1.0,3.0,2.5,2.3,2.7
"AVENTURA, FL",1.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"MOUNT PLEASANT, SC",4.2,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.2,2.0
"ANN ARBOR, MI",3.6,0.3,4.0,0.6,2.3,4.0,34.0,2.8,3.0,3.5,13.2,4.0,3.5,4.0,2.4,3.5
"FITCHBURG, WI",1.0,0.4,4.0,0.0,0.0,5.0,13.0,4.7,1.0,2.0,173.9,0.0,2.5,2.5,3.4,2.7
"GRAND ISLAND, NE",3.4,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"VENTURA, CA",8.8,0.8,3.0,0.6,11.6,3.0,25.5,2.3,3.0,4.5,87.2,1.0,3.0,2.0,2.6,2.5
"STANFORD, CA",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0
"OREM, UT",1.8,0.2,4.0,0.2,3.5,4.0,,,,,,,2.0,2.0,2.5,2.1
"TAMPA, FL",50.0,1.4,2.0,3.8,16.5,3.0,,,,,,,1.0,1.5,2.0,1.4
"RUTLAND, VT",0.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"INDEPENDENCE, MO",11.2,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"CARROLLTON, GA",4.6,1.8,1.0,0.2,43.5,2.0,,,,,,,0.5,1.0,,0.6
"LANSING, MI",7.6,0.7,3.0,0.2,5.4,4.0,,,,,,,1.5,2.0,2.4,1.9
"AURORA, IL",7.0,0.3,4.0,0.4,17.5,3.0,,,,,,,2.0,1.5,,1.4
"GOOSE CREEK, SC",3.4,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.1,2.0
"CHARLESTON, WV",6.6,1.3,2.0,0.2,19.0,3.0,,,,,,,1.0,1.5,1.9,1.4
"TROY, OH",0.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"KANSAS CITY, KS",19.2,1.3,2.0,0.2,14.4,3.0,,,,,,,1.0,1.5,,1.0
"SANTA MARIA, CA",2.6,0.2,4.0,0.4,14.1,3.0,33.0,3.1,3.0,4.5,158.5,0.0,3.5,1.5,2.0,2.4
"SHAWNEE, KS",2.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"SAINT PETERSBURG, FL",27.8,1.1,2.0,0.8,4.7,4.0,,,,,,,1.0,2.0,2.5,1.7
"PORTLAND, ME",2.6,0.4,4.0,0.0,0.0,5.0,653.0,97.9,0.0,28.0,320.0,0.0,2.0,2.5,,1.8
"ATHENS, GA",10.0,0.8,3.0,1.0,14.1,3.0,,,,,,,1.5,1.5,2.2,1.6
"FAIRBANKS, AK",5.4,1.7,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.6,1.9
"EMMAUS, PA",0.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"ALEXANDRIA, VA",3.0,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"LA CROSSE, WI",1.6,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4
"TULSA, OK",48.2,1.2,2.0,0.2,3.9,4.0,,,,,,,1.0,2.0,2.2,1.6
