City,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points
"GRESHAM, OR",4.6,0.4,4.0,0.4,10.7,3.0,,,,,,,2.0,1.5,,1.4
"DALLAS, TX",171.2,1.3,2.0,1.0,6.8,4.0,,,,,,,1.0,2.0,2.2,1.6
"WASHINGTON, DC",24.8,0.4,4.0,1.0,0.6,4.0,330.0,4.9,1.0,52.5,32.3,3.0,2.5,3.5,2.4,2.9
"NEWARK, NJ",23.6,0.8,3.0,0.8,30.2,2.0,,,,,,,1.5,1.0,,1.0
"HUNTSVILLE, AL",17.8,0.9,2.0,0.0,0.0,5.0,126.5,6.6,0.0,3.5,140.6,0.0,1.0,2.5,2.0,1.8
"PORT CHESTER, NY",0.6,0.2,4.0,0.0,,,,,,,,,2.0,,,0.8
"JACKSON, TN",5.8,0.9,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"FREMONT, CA",10.6,0.5,4.0,0.6,12.5,3.0,,,,,,,2.0,1.5,2.6,1.9
"SHREVEPORT, LA",22.2,1.1,2.0,0.6,30.5,2.0,,,,,,,1.0,1.0,1.9,1.2
"MARIETTA, GA",10.6,1.8,1.0,0.8,275.9,0.0,,,,,,,0.5,0.0,1.9,0.6
"CORVALLIS, OR",1.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.3,2.5
"SAN ANTONIO, TX",162.2,1.1,2.0,4.0,26.6,2.0,,,,,,,1.0,1.0,2.1,1.2
"BANGOR, ME",1.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.4,2.3
"DELAWARE, OH",1.8,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"LAS VEGAS, NV",46.2,0.7,3.0,1.6,15.6,3.0,,,,,,,1.5,1.5,2.0,1.6
"BELLA VISTA, AR",1.8,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,3.3,2.3
"STERLING HEIGHTS, MI",6.8,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.8,2.2
"SOUTHAVEN, MS",4.2,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"REVERE, MA",1.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"MACON, GA",23.0,1.5,2.0,0.2,54.1,1.0,,,,,,,1.0,0.5,1.7,0.9
"EUGENE, OR",5.2,0.3,4.0,0.4,0.8,4.0,21.0,1.3,4.0,1.5,3.0,4.0,4.0,4.0,3.0,3.8
"TOLEDO, OH",23.6,0.8,3.0,0.6,28.4,2.0,,,,,,,1.5,1.0,2.2,1.4
"REDMOND, WA",2.0,0.3,4.0,0.2,5.4,4.0,,,,,,,2.0,2.0,2.8,2.2
"HICKORY, NC",5.4,1.3,2.0,0.2,34.5,2.0,,,,,,,1.0,1.0,,0.8
"HOOVER, AL",6.0,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"BILLINGS, MT",4.4,0.4,4.0,0.4,11.6,3.0,,,,,,,2.0,1.5,2.4,1.9
"SAN JOSE, CA",55.4,0.5,3.0,3.4,7.5,4.0,,,,,,,1.5,2.0,2.5,1.9
"PINE BLUFF, AR",4.6,1.0,2.0,0.0,,,,,,,,,1.0,,,0.4
"LEXINGTON, KY",31.6,1.0,2.0,0.4,3.4,4.0,,,,,,,1.0,2.0,2.4,1.7
"SOMERVILLE, MA",0.4,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3
"GARY, IN",14.6,1.9,1.0,0.0,0.0,5.0,,,,,,,0.5,2.5,,1.2
"WILMINGTON, DE",5.2,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.4,2.1
"MILWAUKEE, WI",55.4,0.9,2.0,0.6,2.3,4.0,343.5,5.7,1.0,9.0,34.0,3.0,1.5,3.5,2.7,2.5
"MOUNT VERNON, NY",1.0,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"MEMPHIS, TN",100.2,1.5,2.0,1.4,21.5,3.0,710.5,10.9,0.0,5.0,76.7,1.0,1.0,2.0,2.4,1.7
"FARGO, ND",2.2,0.2,4.0,0.4,6.5,4.0,,,,,,,2.0,2.0,2.6,2.1
"BIRMINGHAM, AL",37.8,1.8,1.0,0.2,6.8,4.0,,,,,,,0.5,2.0,2.0,1.4
"GREAT FALLS, MT",1.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"CAMDEN, NJ",6.4,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.4,2.1
"LENEXA, KS",5.0,1.0,2.0,0.0,0.0,5.0,12.5,2.4,3.0,0.5,111.1,1.0,2.5,3.0,2.3,2.7
"LOS ANGELES, CA",256.2,0.6,3.0,15.2,7.0,4.0,,,,,,,1.5,2.0,1.9,1.8
"LOUISVILLE, KY",81.2,1.3,2.0,1.6,14.3,3.0,,,,,,,1.0,1.5,2.3,1.5
"WATERBURY, CT",12.6,1.2,2.0,0.2,1000.0,0.0,,,,,,,1.0,0.0,,0.4
"RALEIGH, NC",34.2,0.8,3.0,0.8,8.1,4.0,,,,,,,1.5,2.0,2.4,1.9
"SAN BERNARDINO, CA",29.4,1.4,2.0,1.2,36.9,2.0,,,,,,,1.0,1.0,,0.8
"BATON ROUGE, LA",40.2,1.8,1.0,1.8,26.6,2.0,,,,,,,0.5,1.0,1.6,0.9
"JOLIET, IL",5.6,0.4,4.0,0.2,26.7,2.0,,,,,,,2.0,1.0,,1.2
"REDLANDS, CA",4.2,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.9,2.2
"NAPA, CA",1.8,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"ROSWELL, NM",2.4,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"GRAND RAPIDS, MI",11.0,0.6,3.0,0.8,8.0,4.0,,,,,,,1.5,2.0,2.6,1.9
"PATERSON, NJ",6.0,0.4,4.0,0.4,,,,,,,,,2.0,,,0.8
"STAMFORD, CT",6.6,0.5,3.0,0.4,13.8,3.0,,,,,,,1.5,1.5,2.1,1.6
"WORCESTER, MA",9.0,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.1,2.0
"DAYTON, OH",20.2,1.4,2.0,1.2,50.0,2.0,,,,,,,1.0,1.0,3.1,1.4
"INDIANAPOLIS, IN",89.0,1.0,2.0,3.0,15.8,3.0,,,,,,,1.0,1.5,2.4,1.5
"GREENVILLE, SC",10.0,1.6,2.0,0.2,8.3,4.0,,,,,,,1.0,2.0,2.7,1.7
"JERSEY CITY, NJ",8.6,0.3,4.0,0.8,14.4,3.0,,,,,,,2.0,1.5,2.0,1.8
"CHARLOTTE, NC",78.4,0.9,2.0,1.4,14.6,3.0,,,,,,,1.0,1.5,2.0,1.4
"ORLANDO, FL",33.0,1.2,2.0,1.4,16.1,3.0,182.5,6.8,0.0,8.0,92.0,1.0,1.0,2.0,2.1,1.6
"COLUMBIA, MD",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,2.7,2.5
"IDAHO FALLS, ID",4.4,0.7,3.0,0.4,18.3,3.0,,,,,,,1.5,1.5,,1.2
"WINSTON-SALEM, NC",22.2,0.9,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.3,1.9
"OKLAHOMA CITY, OK",82.8,1.3,2.0,2.2,39.4,2.0,,,,,,,1.0,1.0,2.3,1.3
"CARMEL, IN",2.2,0.2,4.0,0.0,0.0,5.0,176.0,19.9,0.0,7.5,961.5,0.0,2.0,2.5,3.2,2.4
"FAYETTEVILLE, AR",5.6,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,3.2,2.2
"RACINE, WI",4.0,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.4,2.1
"OVERLAND PARK, KS",6.0,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.4,2.3
"MANCHESTER, NH",6.2,0.6,3.0,0.2,8.3,4.0,,,,,,,1.5,2.0,2.4,1.9
"BOSTON, MA",21.4,0.3,4.0,0.4,0.5,4.0,,,,,,,2.0,2.0,1.9,2.0
"BETHEL, CT",0.6,0.6,3.0,0.2,45.5,2.0,,,,,,,1.5,1.0,2.4,1.5
"FISHERS, IN",2.4,0.3,4.0,0.4,85.1,1.0,,,,,,,2.0,0.5,,1.0
"SPRINGFIELD, MA",11.2,0.7,3.0,0.2,10.4,3.0,,,,,,,1.5,1.5,,1.2
"MINNEAPOLIS, MN",14.8,0.4,4.0,1.4,1.5,4.0,218.5,5.3,1.0,22.5,23.8,3.0,2.5,3.5,3.1,3.0
"SAN JUAN, PR",31.2,0.9,2.0,0.6,7.4,4.0,,,,,,,1.0,2.0,,1.2
"ATLANTA, GA",56.4,1.2,2.0,0.6,2.8,4.0,,,,,,,1.0,2.0,2.0,1.6
"LOWELL, MA",3.4,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.2,2.2
"KEARNEY, NE",0.6,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.8,2.4
"BLOOMINGTON, MN",3.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.8,2.4
"CHANDLER, AZ",13.6,0.6,3.0,1.0,9.9,3.0,,,,,,,1.5,1.5,2.6,1.7
"RICHARDSON, TX",6.4,0.6,3.0,0.4,30.8,2.0,,,,,,,1.5,1.0,2.5,1.5
"KANSAS CITY, MO",66.4,1.4,2.0,1.6,26.2,2.0,,,,,,,1.0,1.0,2.2,1.2
"KENT, WA",7.8,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"DES MOINES, IA",14.0,0.7,3.0,0.2,5.0,4.0,,,,,,,1.5,2.0,3.0,2.0
"NORWALK, CT",4.8,0.5,3.0,0.0,0.0,5.0,24.0,2.7,3.0,0.5,22.8,3.0,3.0,4.0,,2.8
"URBANA, IL",2.0,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,3.1,2.2
"ALMA, MI",0.8,0.9,2.0,0.2,111.1,1.0,,,,,,,1.0,0.5,,0.6
"SALEM, OR",10.0,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.5,2.1
"DUBLIN, OH",2.4,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,3.4,2.3
"MELBOURNE, FL",11.8,1.5,2.0,2.0,51.8,1.0,,,,,,,1.0,0.5,2.0,1.0
"LONG BEACH, CA",28.4,0.6,3.0,0.6,2.7,4.0,125.5,2.7,3.0,11.0,50.0,2.0,3.0,3.0,2.6,2.9
"OWENSBORO, KY",4.0,0.7,3.0,0.4,26.1,2.0,,,,,,,1.5,1.0,,1.0
"NASHVILLE, TN",63.0,1.0,2.0,0.4,5.6,4.0,,,,,,,1.0,2.0,2.1,1.6
"WINFIELD, IL",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0
"GREENSBORO, NC",28.2,1.0,2.0,0.4,15.2,3.0,,,,,,,1.0,1.5,2.2,1.4
"CASPER, WY",5.8,1.0,2.0,0.2,12.8,3.0,,,,,,,1.0,1.5,,1.0
"SALT LAKE CITY, UT",17.0,0.9,2.0,0.6,2.2,4.0,,,,,,,1.0,2.0,2.6,1.7
"WEST CHESTER, PA",0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.3,2.3
"NEWPORT NEWS, VA",13.6,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.2,2.0
"COLUMBUS, IN",12.2,2.6,1.0,0.0,0.0,5.0,,,,,,,0.5,2.5,3.2,1.8
"RIDGELAND, MS",1.4,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,3.1,2.2
"TALLAHASSEE, FL",14.0,0.7,3.0,0.4,4.6,4.0,,,,,,,1.5,2.0,2.2,1.8
"ROCKVILLE, MD",0.2,0.0,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3
"WEST HARTFORD, CT",2.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.2,2.2
"BAKERSFIELD, CA",37.6,1.0,2.0,2.0,28.0,2.0,,,,,,,1.0,1.0,2.1,1.2
"BALTIMORE, MD",33.2,0.5,3.0,0.8,3.5,4.0,410.5,6.6,1.0,14.0,60.7,2.0,2.0,3.0,1.7,2.3
"CINCINNATI, OH",24.8,0.8,3.0,0.2,2.9,4.0,,,,,,,1.5,2.0,2.1,1.8
"CHARLESTON, SC",23.6,1.8,1.0,1.0,4.9,4.0,,,,,,,0.5,2.0,1.9,1.4
"SANTA FE, NM",7.2,0.9,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.4,2.1
"BROKEN ARROW, OK",6.0,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"BETTENDORF, IA",1.0,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4
"PHOENIX, AZ",204.0,1.3,2.0,8.8,16.6,3.0,,,,,,,1.0,1.5,2.2,1.4
"RIO RANCHO, NM",1.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"SCRANTON, PA",5.0,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"GILBERT, AZ",9.0,0.4,4.0,0.8,11.8,3.0,,,,,,,2.0,1.5,,1.4
"HIGH POINT, NC",,,,,,,,,,,,,2.5,2.5,1.8,2.4
"BRIDGEPORT, CT",9.4,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.1,2.0
"SCOTTSDALE, AZ",15.0,0.6,3.0,0.4,3.5,4.0,,,,,,,1.5,2.0,2.7,1.9
"STATE COLLEGE, PA",1.2,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4
"OAKLAND, CA",26.4,0.6,3.0,1.0,1.7,4.0,,,,,,,1.5,2.0,2.2,1.8
"HATTIESBURG, MS",7.8,1.7,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.4,1.9
"MAPLE GROVE, MN",1.0,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"HAMMOND, IN",7.2,0.9,2.0,0.2,21.5,3.0,,,,,,,1.0,1.5,,1.0
"TACOMA, WA",16.4,0.8,3.0,0.2,3.1,4.0,,,,,,,1.5,2.0,2.3,1.9
"PLANO, TX",12.4,0.4,4.0,0.2,12.6,3.0,,,,,,,2.0,1.5,2.7,1.9
"NEWBURYPORT, MA",0.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.1,2.4
"COLORADO SPRINGS, CO",31.2,0.7,3.0,0.4,3.0,4.0,91.5,2.0,4.0,8.5,62.8,2.0,3.5,3.0,2.5,3.1
"DOWNERS GROVE, IL",0.6,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"SPRINGFIELD, IL",9.2,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.3,2.1
"OXFORD, MS",1.2,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"COLUMBUS, GA",19.2,1.0,2.0,0.2,11.0,3.0,,,,,,,1.0,1.5,,1.0
"THORNTON, CO",6.8,0.5,3.0,0.2,28.6,2.0,,,,,,,1.5,1.0,,1.0
"PAWTUCKET, RI",3.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.4,2.3
"KNOXVILLE, TN",31.4,1.7,2.0,0.2,3.3,4.0,253.0,13.7,0.0,5.5,90.8,1.0,1.0,2.5,2.5,1.9
"ALBANY, GA",8.0,1.1,2.0,0.0,,,,,,,,,1.0,,,0.4
"NORFOLK, VA",19.6,0.8,3.0,0.2,2.1,4.0,,,,,,,1.5,2.0,2.3,1.9
"MORGAN HILL, CA",2.2,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.8,2.2
"HIGHLAND PARK, IL",0.6,0.2,4.0,0.0,0.0,5.0,11.0,3.7,2.0,1.0,153.8,0.0,3.0,2.5,2.9,2.8
"COLUMBIA, MO",8.8,0.7,3.0,0.2,2.4,4.0,,,,,,,1.5,2.0,2.9,2.0
"BURLINGTON, IA",0.6,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.2,2.2
"TOPEKA, KS",13.0,1.0,2.0,0.6,29.6,2.0,,,,,,,1.0,1.0,2.5,1.3
"DURHAM, NC",17.6,0.7,3.0,0.8,8.2,4.0,53.0,2.1,4.0,1.0,10.2,4.0,3.5,4.0,2.2,3.4
"MORGANTOWN, WV",8.4,2.8,1.0,0.0,0.0,5.0,,,,,,,0.5,2.5,2.2,1.6
"AMES, IA",0.8,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"YOUNGSTOWN, OH",8.2,1.3,2.0,0.2,87.0,1.0,,,,,,,1.0,0.5,,0.6
"BILOXI, MS",4.8,1.1,2.0,0.2,47.6,2.0,,,,,,,1.0,1.0,2.3,1.3
"AUBURN, AL",2.0,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"LIVONIA, MI",2.8,0.3,4.0,0.2,21.3,3.0,,,,,,,2.0,1.5,,1.4
"PORTLAND, OR",36.8,0.6,3.0,2.6,1.2,4.0,281.0,4.5,1.0,15.0,6.9,4.0,2.0,4.0,2.7,2.9
"MERIDIAN, MS",4.6,1.2,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"AUGUSTA, GA",23.8,1.2,2.0,0.8,33.1,2.0,,,,,,,1.0,1.0,2.1,1.2
"DULUTH, MN",3.0,0.3,4.0,0.2,6.5,4.0,,,,,,,2.0,2.0,2.7,2.1
"DAVENPORT, IA",9.0,0.9,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.5,1.9
"RICHMOND, VA",14.2,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.4,2.1
"SANTA ROSA, CA",8.4,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.3,2.1
"JANESVILLE, WI",3.2,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,3.2,2.2
"HUNTINGTON, WV",6.6,1.4,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"NEWINGTON, CT",1.8,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"AKRON, OH",13.6,0.7,3.0,0.8,137.9,0.0,,,,,,,1.5,0.0,2.6,1.1
"NORTHFIELD, NJ",0.6,0.7,3.0,0.4,148.1,0.0,,,,,,,1.5,0.0,,0.6
"WEST FARGO, ND",0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"NORTH PLATTE, NE",0.8,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"JACKSONVILLE, FL",130.2,1.5,2.0,5.0,23.2,2.0,,,,,,,1.0,1.0,1.7,1.1
"NEWARK, DE",2.4,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.7,2.1
"EVANSTON, IL",1.4,0.2,4.0,0.6,5.5,4.0,,,,,,,2.0,2.0,3.0,2.2
"CANTON, OH",8.0,1.1,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.1,1.8
"PEACHTREE CITY, GA",1.0,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"WAXHAW, NC",0.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"SIOUX FALLS, SD",5.2,0.3,4.0,0.4,9.3,4.0,,,,,,,2.0,2.0,2.8,2.2
"DUNWOODY, GA",2.2,0.5,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"PADUCAH, KY",4.2,1.7,2.0,0.2,80.0,1.0,,,,,,,1.0,0.5,2.3,1.1
"BELLEVUE, WA",3.6,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3
"CHULA VISTA, CA",11.4,0.4,4.0,1.0,29.3,2.0,,,,,,,2.0,1.0,2.5,1.7
"MESA, AZ",36.2,0.8,3.0,2.0,9.7,3.0,,,,,,,1.5,1.5,2.4,1.7
"FAIRFIELD, CA",8.4,0.7,3.0,0.6,22.8,3.0,,,,,,,1.5,1.5,,1.2
"LIVERMORE, CA",4.0,0.5,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"TUPELO, MS",5.6,1.5,2.0,0.0,,,,,,,,,1.0,,2.4,0.9
"PEORIA, AZ",10.2,0.6,3.0,0.2,9.8,3.0,,,,,,,1.5,1.5,2.7,1.7
"GULFPORT, MS",5.8,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"EL PASO, TX",53.8,0.8,3.0,0.2,3.4,4.0,,,,,,,1.5,2.0,2.1,1.8
"TRENTON, NJ",5.4,0.6,3.0,0.2,21.3,3.0,,,,,,,1.5,1.5,,1.2
"EUCLID, OH",2.8,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.8,2.2
"EAU CLAIRE, WI",2.2,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4
"MANHATTAN, NY",43.0,0.3,4.0,3.0,1.6,4.0,580.5,3.5,2.0,97.5,52.3,2.0,3.0,3.0,2.2,2.8
"BOWLING GREEN, KY",4.8,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.1,2.0
"LAKEWOOD, CO",11.2,0.7,3.0,0.4,7.7,4.0,,,,,,,1.5,2.0,2.6,1.9
"FRESNO, CA",27.4,0.5,3.0,1.4,7.8,4.0,,,,,,,1.5,2.0,2.2,1.8
"WARWICK, RI",5.4,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"SIMI VALLEY, CA",3.4,0.3,4.0,0.2,8.7,4.0,,,,,,,2.0,2.0,,1.6
"O'FALLON, MO",,,,,,,,,,,,,2.5,2.5,2.5,2.5
"WEST JORDAN, UT",3.8,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"GILLETTE, WY",1.8,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"NEW ULM, MN",0.4,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.2,2.4
"KALISPELL, MT",0.6,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.4,2.3
"MERIDIAN, ID",2.4,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"HILO, HI",4.0,0.9,2.0,0.2,20.6,3.0,,,,,,,1.0,1.5,,1.0
"PORTSMOUTH, NH",1.2,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.5,2.1
"MONTEBELLO, CA",4.6,0.7,3.0,0.4,28.6,2.0,,,,,,,1.5,1.0,,1.0
"CONCORD, NH",2.4,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.9,2.2
"ROSWELL, GA",6.2,0.7,3.0,0.2,32.8,2.0,,,,,,,1.5,1.0,2.4,1.5
"TEMPE, AZ",21.4,1.2,2.0,0.8,2.3,4.0,,,,,,,1.0,2.0,2.6,1.7
"RENO, NV",16.6,0.7,3.0,0.8,8.4,4.0,,,,,,,1.5,2.0,2.5,1.9
"BEAVERTON, OR",3.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3
"BURKE, VA",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,2.7,2.5
"CEDAR RAPIDS, IA",4.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4
"FRANKLIN, TN",3.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"SILOAM SPRINGS, AR",1.0,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.8,2.2
"BUTTE, MT",1.8,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"CONCORD, NC",8.2,0.9,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"COLUMBIA, SC",18.8,1.4,2.0,0.8,23.3,2.0,,,,,,,1.0,1.0,1.6,1.1
"RICHFIELD, UT",0.8,1.1,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"SIOUX CITY, IA",6.8,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.3,2.1
"LONGMONT, CO",4.2,0.5,4.0,0.8,16.7,3.0,,,,,,,2.0,1.5,2.7,1.9
"NORTH LITTLE ROCK, AR",9.6,1.5,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.5,1.9
"CHESAPEAKE, VA",14.8,0.6,3.0,0.6,22.8,3.0,,,,,,,1.5,1.5,2.1,1.6
"KENNER, LA",4.2,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"SAN DIEGO, CA",85.2,0.6,3.0,2.0,2.9,4.0,152.0,1.1,4.0,17.0,24.6,3.0,3.5,3.5,2.4,3.3
"EDWARDSVILLE, IL",1.2,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,3.5,2.3
"NORMAN, OK",8.8,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.3,2.1
"YORBA LINDA, CA",1.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"ABERDEEN, SD",0.8,0.3,4.0,0.2,18.3,3.0,,,,,,,2.0,1.5,,1.4
"AUGUSTA, ME",3.8,2.0,1.0,0.2,105.3,1.0,,,,,,,0.5,0.5,2.3,0.9
"DULUTH, GA",4.0,1.4,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.1,1.8
"CHAPEL HILL, NC",1.4,0.2,4.0,0.2,3.1,4.0,,,,,,,2.0,2.0,2.5,2.1
"VIENNA, VA",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,3.0,2.6
"JONESBORO, AR",8.0,1.1,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,1.5,1.7
"SUN PRAIRIE, WI",1.2,0.4,4.0,0.0,0.0,5.0,0.0,0.0,5.0,0.5,49.5,2.0,4.5,3.5,,3.2
"MIDDLETOWN, DE",0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"SOLDOTNA, AK",1.0,2.2,1.0,0.0,0.0,5.0,,,,,,,0.5,2.5,,1.2
"CARSON CITY, NV",2.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"SUMMERVILLE, SC",3.4,0.7,3.0,0.4,72.7,1.0,,,,,,,1.5,0.5,2.2,1.2
"CROWN POINT, IN",4.6,1.6,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"SANTA MONICA, CA",3.8,0.4,4.0,0.0,0.0,5.0,23.0,2.5,3.0,3.5,19.0,4.0,3.5,4.5,2.6,3.7
"PARKERSBURG, WV",3.8,1.2,2.0,0.2,71.4,1.0,,,,,,,1.0,0.5,,0.6
"VILLA PARK, IL",0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"WARREN, PA",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,3.1,2.6
"HENDERSON, NV",11.0,0.4,4.0,0.2,7.8,4.0,,,,,,,2.0,2.0,2.6,2.1
