City,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points
"WASHINGTON, DC",28.2,127,36.7,30.3,6.4,1.0,-25.0,31.4,1.7,0.12,0.08,0.04,3.0,-0.6,0.64,3.0,2.0
"NEWARK, NJ",7.3,16,20.9,22.9,-2.0,2.0,-20.0,18.0,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.6,2.0
"HUNTSVILLE, AL",18.7,34,16.8,17.7,-0.8,3.0,-15.0,14.2,2.4,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,2.0
"PORT CHESTER, NY",11.1,3,5.4,8.1,-2.6,3.0,-15.0,12.4,2.7,0.0,0.0,0.0,,,,,2.0
"JACKSON, TN",20.0,12,17.6,17.2,0.4,3.0,-15.0,15.4,2.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.0
"FREMONT, CA",5.4,8,18.3,18.4,-0.1,3.0,-15.0,14.9,2.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.0
"SHREVEPORT, LA",33.3,62,19.9,22.3,-2.5,2.0,-20.0,17.5,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,2.0
"MARIETTA, GA",9.9,7,6.3,6.2,0.1,3.0,-15.0,15.1,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0
"CORVALLIS, OR",11.6,5,38.1,31.2,6.9,1.0,-25.0,31.9,1.7,0.17,0.14,0.03,3.0,-0.6,0.63,3.0,2.0
"SAN ANTONIO, TX",20.6,217,23.3,25.4,-2.1,2.0,-20.0,17.9,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0
"BANGOR, ME",7.7,2,27.1,15.4,11.7,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0
"DELAWARE, OH",3.8,1,22.8,10.3,12.6,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0
"LAS VEGAS, NV",17.9,95,21.4,23.8,-2.4,2.0,-20.0,17.6,2.2,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,2.0
"BELLA VISTA, AR",7.7,2,28.6,17.3,11.3,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0
"STERLING HEIGHTS, MI",4.0,4,14.7,14.0,0.6,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0
"SOUTHAVEN, MS",2.6,1,21.0,34.9,-13.9,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.0
"REVERE, MA",8.6,5,6.8,5.0,1.8,3.0,-15.0,16.8,1.9,0.0,0.01,0.0,1.0,-0.02,0.02,2.3,2.0
"MACON, GA",29.5,31,5.2,4.6,0.6,3.0,-15.0,15.6,2.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.0
"EUGENE, OR",5.8,8,22.1,20.8,1.3,2.0,-20.0,21.3,1.7,0.1,0.06,0.04,3.0,-0.6,0.64,3.0,2.0
"TOLEDO, OH",24.0,78,16.8,16.5,0.3,3.0,-15.0,15.3,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0
"REDMOND, WA",9.1,7,23.0,21.5,1.5,2.0,-20.0,21.5,1.6,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.0
"HICKORY, NC",13.7,10,5.8,3.9,1.9,3.0,-15.0,16.9,1.9,0.0,0.01,0.0,1.0,-0.02,0.02,2.3,2.0
"HOOVER, AL",7.4,9,14.2,16.5,-2.3,3.0,-15.0,12.7,2.6,0.0,0.0,0.0,,,,,2.0
"BILLINGS, MT",10.8,10,27.5,24.9,2.7,1.0,-25.0,27.7,2.1,0.01,0.0,0.0,2.0,-0.05,0.05,1.6,2.0
"SAN JOSE, CA",14.0,106,19.0,18.8,0.2,3.0,-15.0,15.2,2.2,0.01,0.01,0.01,2.0,-0.05,0.06,1.4,2.0
"PINE BLUFF, AR",32.2,19,28.7,31.1,-2.4,1.0,-25.0,22.6,2.6,0.0,0.0,0.0,,,,,2.0
"LEXINGTON, KY",10.0,21,9.2,8.8,0.5,3.0,-15.0,15.5,2.1,0.01,0.01,0.01,2.0,-0.05,0.06,1.5,2.0
"SOMERVILLE, MA",14.3,14,10.9,7.8,3.1,3.0,-15.0,18.1,1.6,0.15,0.11,0.04,3.0,-0.6,0.64,3.0,2.0
"GARY, IN",23.7,28,36.2,33.8,2.4,1.0,-25.0,27.4,2.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0
"WILMINGTON, DE",33.8,27,36.0,33.4,2.6,1.0,-25.0,27.6,2.1,0.01,0.01,0.01,2.0,-0.05,0.06,1.5,2.0
"MILWAUKEE, WI",28.2,197,31.0,29.6,1.4,1.0,-25.0,26.4,2.2,0.02,0.01,0.01,2.0,-0.05,0.06,1.1,2.0
"MOUNT VERNON, NY",20.8,16,3.1,1.9,1.1,3.0,-15.0,16.1,2.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,2.0
"MEMPHIS, TN",31.8,179,5.8,5.5,0.3,3.0,-15.0,15.3,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,1.9
"FARGO, ND",14.8,13,48.9,46.9,2.0,1.0,-25.0,27.0,2.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,1.9
"BIRMINGHAM, AL",32.7,144,21.7,23.6,-1.9,2.0,-20.0,18.1,2.1,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,1.9
"GREAT FALLS, MT",12.1,8,35.0,32.1,2.9,1.0,-25.0,27.9,2.1,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,1.9
"CAMDEN, NJ",22.9,16,27.9,25.7,2.2,1.0,-25.0,27.2,2.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,1.9
"LENEXA, KS",5.7,4,23.4,24.8,-1.3,2.0,-20.0,18.7,2.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.9
"LOS ANGELES, CA",23.4,675,23.8,21.7,2.1,2.0,-20.0,22.1,1.5,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,1.9
"LOUISVILLE, KY",6.9,35,7.1,6.6,0.5,3.0,-15.0,15.5,2.1,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,1.9
"WATERBURY, CT",27.3,24,13.2,15.0,-1.8,3.0,-15.0,13.2,2.6,0.0,0.0,0.0,,,,,1.9
"RALEIGH, NC",15.6,41,10.9,10.0,0.9,3.0,-15.0,15.9,2.1,0.01,0.0,0.0,1.0,-0.02,0.02,1.5,1.9
"SAN BERNARDINO, CA",15.3,37,15.7,14.7,1.0,3.0,-15.0,16.0,2.0,0.01,0.0,0.0,1.0,-0.02,0.02,1.5,1.9
"BATON ROUGE, LA",27.1,64,20.5,21.7,-1.3,2.0,-20.0,18.7,2.1,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.9
"JOLIET, IL",16.2,25,23.8,24.9,-1.1,2.0,-20.0,18.9,2.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.9
"REDLANDS, CA",13.3,10,20.7,23.2,-2.5,2.0,-20.0,17.5,2.2,0.02,0.0,0.02,2.0,-0.05,0.07,0.8,1.9
"NAPA, CA",6.1,4,30.0,28.1,1.8,1.0,-25.0,26.8,2.2,0.02,0.0,0.01,2.0,-0.05,0.06,1.0,1.9
"ROSWELL, NM",18.2,8,5.9,6.7,-0.8,3.0,-15.0,14.2,2.4,0.01,0.0,0.01,1.0,-0.02,0.03,0.5,1.9
"GRAND RAPIDS, MI",23.5,47,20.5,18.1,2.4,2.0,-20.0,22.4,1.5,0.01,0.01,0.01,3.0,-0.6,0.61,3.1,1.9
"PATERSON, NJ",17.9,22,13.6,15.2,-1.6,3.0,-15.0,13.4,2.5,0.0,0.0,0.0,,,,,1.9
"STAMFORD, CT",8.0,7,10.6,9.6,1.0,3.0,-15.0,16.0,2.0,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.9
"WORCESTER, MA",22.1,33,14.3,13.6,0.8,3.0,-15.0,15.8,2.1,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,1.9
"DAYTON, OH",26.1,64,22.5,24.7,-2.2,2.0,-20.0,17.8,2.2,0.01,0.0,0.01,1.0,-0.02,0.03,0.9,1.9
"INDIANAPOLIS, IN",19.1,133,5.8,4.2,1.5,3.0,-15.0,16.5,1.9,0.01,0.0,0.0,2.0,-0.05,0.05,1.7,1.9
"GREENVILLE, SC",12.6,13,33.0,30.6,2.4,1.0,-25.0,27.4,2.1,0.01,0.0,0.01,2.0,-0.05,0.06,1.0,1.9
"JERSEY CITY, NJ",17.0,31,17.8,17.1,0.7,3.0,-15.0,15.7,2.1,0.01,0.0,0.01,2.0,-0.05,0.06,1.1,1.8
