City,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points
"CHARLOTTE, NC",19.5,101,9.0,7.7,1.3,3.0,-15.0,16.3,2.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.8
"ORLANDO, FL",20.7,45,7.2,5.7,1.5,3.0,-15.0,16.5,1.9,0.01,0.0,0.0,2.0,-0.05,0.05,1.6,1.8
"COLUMBIA, MD",2.6,2,12.9,13.7,-0.8,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,1.8
"IDAHO FALLS, ID",9.3,5,5.4,4.7,0.7,3.0,-15.0,15.7,2.1,0.01,0.0,0.01,2.0,-0.05,0.06,1.1,1.8
"WINSTON-SALEM, NC",18.7,39,7.0,5.6,1.4,3.0,-15.0,16.4,2.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.8
"OKLAHOMA CITY, OK",19.6,137,21.4,21.7,-0.3,2.0,-20.0,19.7,1.9,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,1.8
"CARMEL, IN",1.9,1,36.1,16.9,19.2,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,1.8
"FAYETTEVILLE, AR",10.0,7,30.6,21.2,9.3,1.0,-25.0,34.3,1.4,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,1.8
"RACINE, WI",21.2,28,33.6,29.4,4.3,1.0,-25.0,29.3,1.9,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.8
"OVERLAND PARK, KS",4.5,8,31.4,19.8,11.5,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,1.8
"MANCHESTER, NH",15.2,15,4.8,3.4,1.5,3.0,-15.0,16.5,1.9,0.01,0.0,0.0,1.0,-0.02,0.02,1.5,1.8
"BOSTON, MA",23.3,144,13.3,9.1,4.2,3.0,-15.0,19.2,1.4,0.06,0.03,0.03,3.0,-0.6,0.63,3.0,1.8
"BETHEL, CT",7.7,1,12.8,16.5,-3.7,,,,,0.01,0.01,0.0,2.0,-0.05,0.05,1.8,1.8
"FISHERS, IN",4.7,2,29.5,27.2,2.3,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,1.8
"SPRINGFIELD, MA",29.8,39,10.4,8.9,1.5,3.0,-15.0,16.5,1.9,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.8
"MINNEAPOLIS, MN",23.4,100,23.1,20.3,2.8,2.0,-20.0,22.8,1.4,0.07,0.04,0.03,3.0,-0.6,0.63,3.0,1.8
"SAN JUAN, PR",8.5,31,34.3,31.1,3.2,1.0,-25.0,28.2,2.1,0.01,0.0,0.01,2.0,-0.05,0.06,1.1,1.8
"ATLANTA, GA",35.2,136,7.7,6.9,0.8,3.0,-15.0,15.8,2.1,0.02,0.01,0.01,2.0,-0.05,0.06,1.1,1.8
"LOWELL, MA",15.0,12,8.7,7.4,1.3,3.0,-15.0,16.3,2.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,1.8
"KEARNEY, NE",4.0,1,19.9,8.1,11.9,,,,,0.01,0.01,0.0,2.0,-0.05,0.05,1.8,1.8
"BLOOMINGTON, MN",14.8,13,27.7,24.0,3.7,1.0,-25.0,28.7,2.0,0.01,0.0,0.0,1.0,-0.02,0.02,1.1,1.8
"CHANDLER, AZ",10.4,20,22.1,22.6,-0.5,2.0,-20.0,19.5,1.9,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,1.8
"RICHARDSON, TX",11.7,16,14.0,12.5,1.4,3.0,-15.0,16.4,2.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,1.8
"KANSAS CITY, MO",20.5,124,25.3,25.1,0.2,2.0,-20.0,20.2,1.8,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,1.8
"KENT, WA",8.2,12,20.3,22.3,-2.0,2.0,-20.0,18.0,2.2,0.01,0.0,0.01,1.0,-0.02,0.03,0.6,1.8
"DES MOINES, IA",15.5,32,33.1,29.7,3.4,1.0,-25.0,28.4,2.0,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,1.8
"NORWALK, CT",9.0,7,4.8,3.2,1.6,3.0,-15.0,16.6,1.9,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,1.8
"URBANA, IL",16.7,8,31.5,21.2,10.2,1.0,-25.0,35.2,1.3,0.1,0.08,0.02,3.0,-0.6,0.62,3.1,1.8
"ALMA, MI",0.0,0,61.7,,,,,,,0.01,0.01,0.0,2.0,-0.05,0.05,1.8,1.8
"SALEM, OR",16.3,25,19.0,14.1,4.9,3.0,-15.0,19.9,1.3,0.02,0.0,0.01,3.0,-0.6,0.61,3.1,1.7
