City,Overall Score,Ridership,Safety,Acceleration,Network,Reach,Good Weather Percentile
"WATERBURY, CT",1,0.9,0.4,,0.8,1.9,69
"RALEIGH, NC",1.5,1.6,1.9,0.6,1.4,1.9,85
"SAN BERNARDINO, CA",1.1,0.8,0.8,,0.8,1.9,8
"BATON ROUGE, LA",1.3,1.5,0.9,0.4,2,1.9,65
"JOLIET, IL",1.5,1.3,1.2,,1.6,1.9,36
"REDLANDS, CA",1.7,1.5,2.2,0.6,2.2,1.9,8
"NAPA, CA",1.6,1,1.8,,1.6,1.9,37
"ROSWELL, NM",1.3,0.9,1.6,,0.8,1.9,11
"GRAND RAPIDS, MI",1.5,1.8,1.9,0.6,1.4,1.9,97
"PATERSON, NJ",1,0.7,0.8,,0.8,1.9,56
"STAMFORD, CT",1.3,1.4,1.6,0.4,1.2,1.9,88
"WORCESTER, MA",1.4,1.4,2,0.4,1.2,1.9,95
"DAYTON, OH",1.4,1.7,1.4,0.6,1.5,1.9,94
"INDIANAPOLIS, IN",2.5,1.9,1.5,3.3,1.4,1.9,98
"JERSEY CITY, NJ",1.5,2.1,1.8,0.5,1.2,1.8,65
"CHARLOTTE, NC",1.4,1.7,1.4,0.6,1.4,1.8,81
"ORLANDO, FL",2.3,1.6,1.6,2.7,1.3,1.8,32
"COLUMBIA, MD",1.6,1.5,2.5,0.5,1.3,1.8,17
"IDAHO FALLS, ID",1.2,1,1.2,,0.8,1.8,63
"WINSTON-SALEM, NC",1.4,1.4,1.9,0.5,1.3,1.8,39
"OKLAHOMA CITY, OK",1.3,1.5,1.3,0.6,1.4,1.8,36
"CARMEL, IN",3,2,2.4,3.1,2.9,1.8,52
"FAYETTEVILLE, AR",3.1,1.5,2.2,5,2.3,1.8,46
"RACINE, WI",1.6,1.6,2.1,0.4,2.1,1.8,75
"OVERLAND PARK, KS",1.7,1.8,2.3,0.5,2.1,1.8,44
"MANCHESTER, NH",1.4,1.4,1.9,0.4,1.3,1.8,74
"BOSTON, MA",2.7,2.6,2,3.4,1.3,1.8,98
"FISHERS, IN",1.5,1.5,1,,1.6,1.8,16
"SPRINGFIELD, MA",1.2,0.9,1.2,,0.8,1.8,90
"MINNEAPOLIS, MN",3.2,2.8,3,3.4,2.3,1.8,84
"ATLANTA, GA",1.5,1.9,1.6,0.6,1.3,1.8,43
"LOWELL, MA",1.4,1.4,2.2,0.3,1.2,1.8,70
