Overall Score,Ridership,Safety,Acceleration,Network,Reach,Value,City Name,State
1.3,1.4,1.5,0.5,1.3,1.8,45,RICHARDSON,TX
1.5,1.8,1.2,0.6,2.1,1.8,45,KANSAS CITY,MO
1.3,1.0,1.6,,0.8,1.8,92,KENT,WA
1.7,1.8,2.0,0.7,2.3,1.8,94,DES MOINES,IA
1.5,1.0,2.8,1.0,0.8,1.8,88,NORWALK,CT
1.5,1.7,2.1,0.5,1.3,1.7,78,SALEM,OR
1.2,1.5,1.0,0.3,1.2,1.7,43,MELBOURNE,FL
2.8,1.8,2.9,2.9,2.1,1.7,15,LONG BEACH,CA
1.1,1.0,1.0,,0.8,1.7,51,OWENSBORO,KY
2.1,1.5,1.6,2.0,1.3,1.7,90,NASHVILLE,TN
1.3,1.4,1.4,0.5,1.4,1.7,67,GREENSBORO,NC
1.5,1.1,1.0,,2.4,1.7,37,CASPER,WY
2.0,2.6,1.7,0.6,3.1,1.7,74,SALT LAKE CITY,UT
1.5,1.4,2.0,0.3,2.0,1.7,57,NEWPORT NEWS,VA
1.4,1.6,1.8,0.5,1.4,1.7,66,TALLAHASSEE,FL
1.2,1.5,1.2,0.5,1.3,1.7,2,BAKERSFIELD,CA
2.8,1.7,2.3,3.5,2.1,1.7,91,BALTIMORE,MD
1.6,1.8,1.8,0.5,2.1,1.7,67,CINCINNATI,OH
1.4,2.2,1.4,0.4,1.2,1.7,27,CHARLESTON,SC
1.5,1.8,2.1,0.5,1.4,1.7,17,SANTA FE,NM
1.3,1.0,1.6,,0.8,1.7,33,BROKEN ARROW,OK
1.5,1.9,1.4,0.5,2.2,1.7,18,PHOENIX,AZ
1.3,1.0,1.8,,0.8,1.7,6,RIO RANCHO,NM
1.4,0.9,1.6,,1.6,1.7,85,SCRANTON,PA
1.4,1.1,1.4,,1.6,1.7,18,GILBERT,AZ
1.3,1.2,2.4,0.3,1.2,1.7,67,HIGH POINT,NC
1.3,1.4,2.0,0.3,1.2,1.7,75,BRIDGEPORT,CT
1.7,2.0,1.9,0.5,2.2,1.7,3,SCOTTSDALE,AZ
1.8,2.5,1.8,0.6,2.2,1.6,61,OAKLAND,CA
1.3,1.4,1.9,0.4,1.2,1.6,51,HATTIESBURG,MS
1.4,1.2,1.0,,1.6,1.6,76,HAMMOND,IN
1.6,1.8,1.9,0.6,2.1,1.6,87,TACOMA,WA
1.4,1.5,1.9,0.4,1.3,1.6,45,PLANO,TX
3.1,2.0,3.1,3.9,2.3,1.6,44,COLORADO SPRINGS,CO
1.4,1.7,2.1,0.5,1.2,1.6,59,SPRINGFIELD,IL
1.1,1.0,1.0,,0.8,1.6,42,COLUMBUS,GA
1.1,1.1,1.0,,0.8,1.6,7,THORNTON,CO
1.4,1.4,2.3,0.3,1.2,1.6,47,PAWTUCKET,RI
2.4,1.6,1.9,2.9,1.4,1.6,83,KNOXVILLE,TN
0.9,0.8,0.4,,0.8,1.6,39,ALBANY,GA
1.3,1.5,1.9,0.6,1.2,1.6,72,NORFOLK,VA
1.7,1.8,2.0,0.6,2.3,1.6,59,COLUMBIA,MO
1.5,1.7,1.3,0.6,2.2,1.6,45,TOPEKA,KS
2.7,1.7,3.4,3.1,1.4,1.6,85,DURHAM,NC
1.5,1.4,1.6,0.5,2.2,1.6,81,MORGANTOWN,WV
1.0,1.0,0.6,,0.8,1.6,100,YOUNGSTOWN,OH
1.1,1.2,1.3,0.4,1.2,1.6,78,BILOXI,MS
1.4,1.2,1.4,,1.6,1.6,94,LIVONIA,MI
3.3,4.0,2.9,3.2,2.3,1.6,84,PORTLAND,OR
1.2,1.4,1.2,0.4,1.3,1.5,38,AUGUSTA,GA
1.7,1.7,2.1,0.6,2.2,1.5,68,DULUTH,MN
1.6,1.7,1.9,0.5,2.2,1.5,65,DAVENPORT,IA
1.7,1.8,2.1,0.6,2.2,1.5,90,RICHMOND,VA
1.5,1.7,2.1,0.6,1.4,1.5,33,SANTA ROSA,CA
1.6,1.0,1.4,,2.4,1.5,66,HUNTINGTON,WV
1.2,1.6,1.1,0.5,1.3,1.5,80,AKRON,OH
1.6,1.4,1.8,,1.6,1.5,79,WEST FARGO,ND
1.2,1.6,1.1,0.4,1.2,1.5,76,JACKSONVILLE,FL
1.6,1.7,2.1,0.6,2.2,1.5,63,NEWARK,DE
1.7,2.3,2.2,0.6,2.1,1.5,62,EVANSTON,IL
1.3,1.5,1.8,0.4,1.3,1.5,99,CANTON,OH
1.5,1.9,2.2,0.6,1.4,1.5,79,SIOUX FALLS,SD
1.6,1.7,2.3,0.5,2.1,1.4,80,BELLEVUE,WA
1.3,1.3,1.7,0.5,1.3,1.4,33,CHULA VISTA,CA
1.3,1.8,1.7,0.5,1.4,1.4,23,MESA,AZ
1.1,1.0,1.2,,0.8,1.4,29,FAIRFIELD,CA
1.3,1.1,1.8,,0.8,1.4,9,LIVERMORE,CA
1.3,1.0,1.7,0.4,2.1,1.4,12,PEORIA,AZ
1.2,0.8,1.6,,0.8,1.4,48,GULFPORT,MS
1.2,1.3,1.8,0.4,1.2,1.4,29,EL PASO,TX
1.3,0.9,1.2,,1.6,1.4,51,TRENTON,NJ
1.8,1.7,2.4,0.6,3.0,1.4,82,EAU CLAIRE,WI
1.3,1.3,2.0,0.4,1.2,1.4,59,BOWLING GREEN,KY
1.4,1.8,1.9,0.5,1.4,1.4,53,LAKEWOOD,CO
1.3,1.6,1.8,0.5,1.3,1.4,22,FRESNO,CA
