City,BNA,BNA Points,Community Survey Network Score,Total Nework Points
"RICHARDSON, TX",16.0,1,2.4,1.3
"KANSAS CITY, MO",25.6,2,2.7,2.1
"KENT, WA",19.4,1,,0.8
"DES MOINES, IA",34.3,2,3.3,2.3
"NORWALK, CT",6.0,1,,0.8
"URBANA, IL",33.1,2,2.8,2.2
"ALMA, MI",78.7,4,,3.2
"SALEM, OR",17.3,1,2.7,1.3
"DUBLIN, OH",46.1,3,2.5,2.9
"MELBOURNE, FL",11.2,1,1.9,1.2
"LONG BEACH, CA",25.5,2,2.5,2.1
"OWENSBORO, KY",9.8,1,,0.8
"NASHVILLE, TN",8.6,1,2.6,1.3
"WINFIELD, IL",19.7,1,,0.8
"GREENSBORO, NC",6.8,1,2.9,1.4
"CASPER, WY",40.8,3,,2.4
"SALT LAKE CITY, UT",51.0,3,3.4,3.1
"WEST CHESTER, PA",55.7,3,2.1,2.8
"NEWPORT NEWS, VA",21.0,2,2.0,2.0
"COLUMBUS, IN",30.6,2,2.9,2.2
"RIDGELAND, MS",28.5,2,2.5,2.1
"TALLAHASSEE, FL",14.0,1,3.1,1.4
"ROCKVILLE, MD",16.0,1,2.7,1.3
"WEST HARTFORD, CT",13.6,1,2.3,1.3
"BAKERSFIELD, CA",15.0,1,2.6,1.3
"BALTIMORE, MD",22.6,2,2.5,2.1
"CINCINNATI, OH",21.8,2,2.6,2.1
"CHARLESTON, SC",16.1,1,2.2,1.2
"SANTA FE, NM",9.1,1,3.2,1.4
"BROKEN ARROW, OK",17.2,1,,0.8
"BETTENDORF, IA",42.9,3,2.7,2.9
"PHOENIX, AZ",26.2,2,2.9,2.2
"RIO RANCHO, NM",5.8,1,,0.8
"SCRANTON, PA",26.9,2,,1.6
"GILBERT, AZ",22.9,2,,1.6
"HIGH POINT, NC",7.3,1,1.9,1.2
"BRIDGEPORT, CT",14.3,1,1.8,1.2
"SCOTTSDALE, AZ",22.2,2,3.0,2.2
"STATE COLLEGE, PA",50.2,3,3.3,3.1
"OAKLAND, CA",26.3,2,3.0,2.2
"HATTIESBURG, MS",14.4,1,2.2,1.2
"MAPLE GROVE, MN",55.9,3,,2.4
"HAMMOND, IN",29.7,2,,1.6
"TACOMA, WA",32.0,2,2.7,2.1
"PLANO, TX",13.5,1,2.5,1.3
"NEWBURYPORT, MA",23.8,2,2.8,2.2
"COLORADO SPRINGS, CO",26.5,2,3.5,2.3
"DOWNERS GROVE, IL",29.3,2,2.2,2.0
"SPRINGFIELD, IL",7.7,1,2.2,1.2
"OXFORD, MS",30.4,2,,1.6
"COLUMBUS, GA",8.1,1,,0.8
"THORNTON, CO",10.5,1,,0.8
"PAWTUCKET, RI",10.1,1,2.1,1.2
"KNOXVILLE, TN",7.8,1,3.2,1.4
"ALBANY, GA",6.6,1,,0.8
"NORFOLK, VA",16.6,1,2.2,1.2
"MORGAN HILL, CA",20.5,2,2.7,2.1
"HIGHLAND PARK, IL",20.0,2,2.6,2.1
"COLUMBIA, MO",32.4,2,3.4,2.3
"BURLINGTON, IA",35.4,2,2.0,2.0
"TOPEKA, KS",26.8,2,3.1,2.2
"DURHAM, NC",13.3,1,2.8,1.4
"MORGANTOWN, WV",21.9,2,2.8,2.2
"AMES, IA",54.4,3,2.7,2.9
"YOUNGSTOWN, OH",13.6,1,,0.8
"BILOXI, MS",14.8,1,1.8,1.2
"AUBURN, AL",37.7,2,2.7,2.1
"LIVONIA, MI",34.1,2,,1.6
"PORTLAND, OR",39.3,2,3.5,2.3
"MERIDIAN, MS",20.8,2,,1.6
"AUGUSTA, GA",8.9,1,2.3,1.3
"DULUTH, MN",25.6,2,3.2,2.2
"DAVENPORT, IA",26.3,2,2.8,2.2
"RICHMOND, VA",20.0,2,3.2,2.2
"SANTA ROSA, CA",18.9,1,3.0,1.4
"JANESVILLE, WI",33.2,2,2.7,2.1
"HUNTINGTON, WV",52.5,3,,2.4
"NEWINGTON, CT",10.5,1,,0.8
"AKRON, OH",14.0,1,2.7,1.3
"NORTHFIELD, NJ",45.5,3,,2.4
"WEST FARGO, ND",30.4,2,,1.6
"NORTH PLATTE, NE",30.9,2,,1.6
"JACKSONVILLE, FL",14.7,1,2.1,1.2
"NEWARK, DE",24.7,2,3.1,2.2
"EVANSTON, IL",30.2,2,2.7,2.1
"CANTON, OH",14.7,1,2.3,1.3
"PEACHTREE CITY, GA",19.6,1,,0.8
"WAXHAW, NC",9.0,1,,0.8
"SIOUX FALLS, SD",18.6,1,2.9,1.4
"DUNWOODY, GA",17.4,1,,0.8
"PADUCAH, KY",4.2,1,2.9,1.4
"BELLEVUE, WA",29.1,2,2.6,2.1
"CHULA VISTA, CA",17.0,1,2.4,1.3
"MESA, AZ",18.1,1,2.8,1.4
"FAIRFIELD, CA",15.2,1,,0.8
"LIVERMORE, CA",19.0,1,,0.8
"TUPELO, MS",33.8,2,1.8,2.0
"PEORIA, AZ",21.7,2,2.3,2.1
"GULFPORT, MS",15.2,1,,0.8
"EL PASO, TX",18.2,1,2.2,1.2
"TRENTON, NJ",27.7,2,,1.6
"EUCLID, OH",17.8,1,2.1,1.2
"EAU CLAIRE, WI",43.3,3,3.1,3.0
"MANHATTAN, NY",46.4,3,2.5,2.9
"BOWLING GREEN, KY",9.2,1,2.2,1.2
"LAKEWOOD, CO",19.3,1,3.1,1.4
"FRESNO, CA",18.1,1,2.5,1.3
"WARWICK, RI",19.1,1,,0.8
"SIMI VALLEY, CA",21.2,2,,1.6
"O'FALLON, MO",12.6,1,1.6,1.1
"WEST JORDAN, UT",16.1,1,,0.8
"GILLETTE, WY",22.9,2,,1.6
"NEW ULM, MN",38.2,2,2.4,2.1
"KALISPELL, MT",35.4,2,2.4,2.1
"MERIDIAN, ID",6.0,1,,0.8
"HILO, HI",35.4,2,,1.6
"PORTSMOUTH, NH",18.1,1,2.2,1.2
"MONTEBELLO, CA",22.7,2,,1.6
"CONCORD, NH",11.1,1,2.6,1.3
"ROSWELL, GA",12.8,1,2.7,1.3
"TEMPE, AZ",30.2,2,3.1,2.2
"RENO, NV",26.3,2,3.0,2.2
"BEAVERTON, OR",27.1,2,2.7,2.1
"BURKE, VA",14.8,1,2.6,1.3
"CEDAR RAPIDS, IA",20.4,2,3.2,2.2
"FRANKLIN, TN",24.3,2,,1.6
"SILOAM SPRINGS, AR",11.9,1,2.5,1.3
"BUTTE, MT",32.9,2,,1.6
"CONCORD, NC",11.4,1,,0.8
"COLUMBIA, SC",20.6,2,2.1,2.0
"RICHFIELD, UT",43.1,3,,2.4
"SIOUX CITY, IA",17.1,1,2.3,1.3
"LONGMONT, CO",11.0,1,3.1,1.4
"NORTH LITTLE ROCK, AR",19.6,1,2.7,1.3
"CHESAPEAKE, VA",21.9,2,1.6,1.9
"KENNER, LA",33.3,2,,1.6
"SAN DIEGO, CA",25.3,2,2.8,2.2
"EDWARDSVILLE, IL",33.0,2,3.0,2.2
"NORMAN, OK",22.6,2,2.2,2.0
"YORBA LINDA, CA",14.8,1,,0.8
"ABERDEEN, SD",51.7,3,,2.4
"AUGUSTA, ME",30.6,2,2.2,2.0
"DULUTH, GA",18.2,1,1.6,1.1
"CHAPEL HILL, NC",33.1,2,3.1,2.2
"VIENNA, VA",34.8,2,2.6,2.1
"JONESBORO, AR",19.9,1,2.0,1.2
"SUN PRAIRIE, WI",48.1,3,,2.4
"MIDDLETOWN, DE",27.6,2,,1.6
"SOLDOTNA, AK",65.1,4,,3.2
"CARSON CITY, NV",25.4,2,,1.6
"SUMMERVILLE, SC",23.8,2,1.9,2.0
"CROWN POINT, IN",37.6,2,,1.6
"SANTA MONICA, CA",51.5,3,2.7,2.9
"PARKERSBURG, WV",21.7,2,,1.6
"VILLA PARK, IL",56.3,3,,2.4
"WARREN, PA",33.4,2,2.8,2.2
"HENDERSON, NV",27.7,2,2.9,2.2
"BLOOMINGTON, IN",48.5,3,3.1,3.0
"METAIRIE, LA",24.7,2,,1.6
"ROCKFORD, IL",23.3,2,2.5,2.1
"HALES CORNERS, WI",37.7,2,,1.6
"CLARKSVILLE, TN",21.9,2,1.8,2.0
"DANVILLE, KY",10.7,1,,0.8
"FERNDALE, MI",49.1,3,2.2,2.8
"DECATUR, AL",26.0,2,,1.6
"THE VILLAGES, FL",22.3,2,,1.6
"SAN LUIS OBISPO, CA",47.2,3,3.1,3.0
"BOSSIER CITY, LA",20.8,2,1.7,1.9
