City,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score
"QUINCY, IL",0.50%,15.9,"40,587",26.30%,1.8,0.1,16.80%,2.8,2.0,1.6
"FORT SMITH, AR",0.20%,62.0,"87,537",11.50%,1.8,0.1,12.40%,2.1,2.0,1.3
"QUEENS, NY",1.30%,108.5,"2,339,280",7.80%,12.6,0.6,15.30%,2.6,2.8,1.8
"AVENTURA, FL",0.60%,2.7,"37,875",45.10%,1.1,0.1,16.80%,2.8,,1.1
"MOUNT PLEASANT, SC",0.70%,45.1,"80,661",12.60%,4.3,0.2,13.90%,2.3,2.1,1.4
"ANN ARBOR, MI",6.70%,27.8,"119,303",20.80%,30.6,1.5,17.50%,2.9,2.9,2.4
"FITCHBURG, WI",0.90%,35.0,"27,914",17.20%,4.5,0.2,19.20%,3.2,2.8,1.9
"GRAND ISLAND, NE",0.70%,28.4,"51,042",20.80%,3.4,0.2,16.50%,2.7,,1.2
"VENTURA, CA",1.10%,21.7,"110,153",20.80%,4.4,0.2,14.40%,2.4,2.6,1.6
"STANFORD, CA",62.90%,2.7,"15,277",45.10%,100.0,5.0,18.20%,3.0,,3.2
"OREM, UT",1.40%,18.3,"94,420",26.30%,5.2,0.3,13.80%,2.3,2.4,1.5
"TAMPA, FL",1.50%,113.4,"368,087",7.80%,14.9,0.7,13.70%,2.3,2.4,1.7
"RUTLAND, VT",0.30%,7.6,"15,740",37.00%,0.8,0.0,13.20%,2.2,,0.9
"INDEPENDENCE, MO",0.10%,77.6,"117,369",11.50%,0.7,0.0,17.90%,3.0,,1.2
"CARROLLTON, GA",0.40%,22.3,"26,054",20.80%,1.8,0.1,9.70%,1.6,,0.7
"LANSING, MI",0.80%,36.0,"115,222",17.20%,4.2,0.2,17.20%,2.9,2.5,1.7
"AURORA, IL",0.30%,44.9,"200,946",12.60%,1.6,0.1,19.60%,3.3,,1.3
"GOOSE CREEK, SC",0.20%,40.1,"41,040",12.60%,1.5,0.1,13.70%,2.3,1.8,1.3
"CHARLESTON, WV",0.50%,31.5,"49,384",17.20%,2.7,0.1,13.60%,2.3,2.2,1.4
"TROY, OH",0.20%,11.7,"25,694",26.30%,0.7,0.0,16.10%,2.7,,1.1
"KANSAS CITY, KS",0.20%,124.8,"151,042",7.80%,2.4,0.1,16.20%,2.7,,1.1
"SANTA MARIA, CA",0.70%,22.8,"104,791",20.80%,2.7,0.1,11.20%,1.9,2.2,1.2
"SHAWNEE, KS",0.20%,41.9,"64,840",12.60%,1.4,0.1,24.90%,4.2,2.0,2.1
"SAINT PETERSBURG, FL",1.50%,61.7,"256,031",11.50%,12.0,0.6,15.10%,2.5,2.5,1.8
"PORTLAND, ME",3.00%,21.3,"66,715",20.80%,11.6,0.6,14.70%,2.5,,1.2
