City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points,Total Ponts
"WAUSAU, WI",0.50%,18.8,"38,934",26.30%,1.8,0.1,16.10%,2.7,2.6,1.6,0.8,0.2,4.0,0.0,0.0,5.0,8.5,2.2,3.0,1.5,174.4,0.0,3.5,2.5,2.7,2.9,1.4,3.2,1.8,37.1,2,3.3,2.3,13.0,6,35.7,49.3,-13.6,1.0,-25.0,11.4,3.8,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,3.2,2.9
"MEDFORD, OR",2.10%,25.7,"79,246",20.80%,9.0,0.5,14.20%,2.4,,1.1,3.6,0.5,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,28.3,2,,1.6,5.8,3,26.0,35.2,-9.2,2.0,-20.0,10.8,3.3,0.03,0.01,0.03,3.0,-0.6,0.63,3.0,3.2,1.9
"LEWISTON, ME",0.90%,34.1,"36,211",17.20%,4.8,0.2,12.60%,2.1,,0.9,2.0,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6,,,,44.3,3,,2.4,12.0,3,35.9,50.2,-14.3,1.0,-25.0,10.7,3.9,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,3.2,2.0
"ARCATA, CA",6.60%,9.1,"17,814",26.30%,18.2,0.9,15.60%,2.6,,1.4,0.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,1.2,,1.0,62.9,4,,3.2,0.0,0,45.4,,,,,,,0.06,0.07,-0.01,3.0,-0.6,0.59,3.2,3.2,2.1
"JACKSON, WY",4.00%,2.9,"10,413",45.10%,8.3,0.4,18.80%,3.1,,1.4,0.2,0.2,4.0,0.2,10.0,3.0,,,,,,,2.0,1.5,,1.4,,,,66.3,4,,3.2,10.0,1,67.2,64.8,2.4,,,,,0.04,0.05,-0.01,3.0,-0.6,0.59,3.2,3.2,2.3
"MARQUETTE, MI",2.30%,11.4,"21,081",26.30%,6.8,0.3,13.80%,2.3,2.7,1.6,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,3.4,2.7,0.2,3.1,0.7,67.2,4,3.8,4.0,7.1,2,56.2,25.9,30.3,,,,,0.02,0.03,-0.01,3.0,-0.6,0.59,3.2,3.2,2.9
"PIERRE, SD",0.10%,13.1,"13,974",26.30%,0.3,0.0,16.70%,2.8,,1.1,0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,36.4,2,,1.6,30.8,4,34.3,44.6,-10.3,1.0,-25.0,14.7,3.5,0.0,0.0,0.0,1.0,-0.02,0.02,2.2,3.1,1.9
"LOMPOC, CA",1.20%,11.6,"43,762",26.30%,3.5,0.2,12.70%,2.1,1.8,1.3,0.8,0.2,4.0,0.0,0.0,5.0,9.0,2.1,4.0,1.5,83.8,1.0,4.0,3.0,2.5,3.3,0.9,2.7,1.3,59.5,3,2.8,3.0,27.8,10,57.3,71.8,-14.5,1.0,-25.0,10.5,3.9,0.02,0.0,0.02,2.0,-0.05,0.07,0.8,3.1,2.9
"MIDDLEBURY, VT",3.60%,13.9,"7,024",26.30%,11.3,0.6,9.90%,1.6,2.2,1.3,0.6,0.9,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.5,2.1,,2.2,0.4,41.7,3,2.2,2.8,20.0,1,37.2,41.6,-4.4,,,,,0.03,0.04,0.0,3.0,-0.6,0.6,3.1,3.1,2.0
"FORT WAYNE, IN",0.30%,110.6,"262,450",7.80%,3.2,0.2,17.90%,3.0,2.4,1.7,27.2,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.7,1.9,,3.2,0.6,28.9,2,2.9,2.2,16.9,38,30.6,43.2,-12.6,1.0,-25.0,12.4,3.7,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,3.1,1.9
"JUNEAU, AK",1.40%,2701.9,"32,434",5.70%,24.0,1.2,15.30%,2.6,2.4,2.0,0.8,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4,,2.3,0.5,36.3,2,2.8,2.2,9.1,2,34.4,19.0,15.4,,,,,0.02,0.01,0.0,3.0,-0.6,0.6,3.1,3.1,2.0
"WHEAT RIDGE, CO",1.60%,9.3,"31,162",26.30%,4.4,0.2,18.50%,3.1,2.5,1.8,2.0,0.6,3.0,0.2,8.8,4.0,,,,,,,1.5,2.0,2.4,1.9,,2.6,0.5,13.1,1,2.7,1.3,3.0,2,11.7,5.9,5.8,,,,,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.1,1.7
"KAILUA, HI",2.40%,7.8,"38,088",37.00%,6.4,0.3,13.30%,2.2,2.2,1.5,2.0,0.5,3.0,0.2,4.9,4.0,,,,,,,1.5,2.0,2.2,1.8,,2.1,0.4,28.3,2,2.0,2.0,6.3,1,21.0,9.2,11.8,,,,,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,3.1,1.8
