Places_ID_2019,City,City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance,ACS Points,Total Reach Points,Bonus,Total Ponts
875,"BRATTLEBORO, VERMONT","BRATTLEBORO, VT",1.20%,4.2,"6,934",37.00%,2.7,0.1,13.10%,2.2,2.4,1.4,1.4,2,1,0,0,5,,,,,,,0.5,2.5,2.5,1.7,,2.2,0.4,34.5,2,2.2,2,10,1,33.1,32.9,0.2,,,,,0.02,0,0.02,3,-0.6,0.62,3,3,0,1.7
1364,"WATERLOO, WISCONSIN","WATERLOO, WI",1.30%,3.8,"3,345",45.10%,2.8,0.1,12.70%,2.1,,0.9,0,0,5,0,0,5,,,,,,,2.5,2.5,,2,,,,41.1,3,,2.4,0,0,29.6,,,,,,,0.02,0,0.02,3,-0.6,0.62,3,3,0,2.1
173,"IOWA CITY, IOWA","IOWA CITY, IA",4.90%,25,"73,415",20.80%,20.8,1,16.10%,2.7,3.1,2.1,2,0.3,4,0,0,5,,,,,,,2,2.5,2.6,2.3,,3.2,0.6,37.2,2,3,2.2,6.8,3,38,44.4,-6.4,1,-25,18.6,3.1,0.07,0.03,0.04,3,-0.6,0.64,3,3,0,2.1
539,"PALO ALTO, CALIFORNIA","PALO ALTO, CA",10.40%,23.9,"67,082",20.80%,43.2,2.2,20.00%,3.3,3.2,2.8,2.6,0.4,4,0.4,1.5,4,,,,,,,2,2,3,2.2,,3,0.6,40.5,3,3,3,4.7,4,31.6,18.4,13.2,,,,,0.12,0.09,0.03,3,-0.6,0.63,3,3,0,2.3
41,"BOZEMAN, MONTANA","BOZEMAN, MT",5.70%,19.1,"43,132",26.30%,21,1,15.40%,2.6,2.9,2,0.8,0.2,4,0,0,5,,,,,,,2,2.5,2.7,2.3,,2.8,0.6,48.4,3,3.5,3.1,3,1,40,28.1,11.9,,,,,0.07,0.04,0.03,3,-0.6,0.63,3,3,0,2.2
209,"LOS ALTOS, CALIFORNIA","LOS ALTOS, CA",2.80%,6.5,"30,527",37.00%,7,0.4,20.30%,3.4,2.6,2,0.4,0.1,4,0,0,5,,,,,,,2,2.5,3.1,2.4,,2.4,0.5,25.5,2,2.6,2.1,4.2,3,23.3,24.7,-1.4,,,,,0.04,0.01,0.03,3,-0.6,0.63,3,3,0,2
655,"HILLSBORO, OREGON","HILLSBORO, OR",1.90%,23.9,"102,396",20.80%,7.9,0.4,17.90%,3,,1.3,2.8,0.3,4,0,0,5,63,6.2,1,1,11.5,4,2.5,4.5,,2.8,3.2,,2.5,28.8,2,,1.6,5.7,5,26.6,32.6,-6,1,-25,19,3,0.02,0.01,0.01,3,-0.6,0.61,3.1,3,0,2.3
556,"HELENA, MONTANA","HELENA, MT",2.70%,16.3,"30,345",26.30%,9,0.5,15.80%,2.6,,1.2,0.4,0.1,4,0.2,5.6,4,,,,,,,2,2,,1.6,,,,37.4,2,,1.6,4.7,2,32.3,47,-14.7,,,,,0.04,0.01,0.03,3,-0.6,0.63,3,3,0,1.9
42,"BRECKENRIDGE, COLORADO","BRECKENRIDGE, CO",1.60%,5.9,"4,833",37.00%,3.9,0.2,18.90%,3.1,2.8,1.9,0.2,0.4,4,0,0,5,,,,,,,2,2.5,3.5,2.5,,3.5,0.7,22.2,2,4.1,2.4,14.3,1,15.9,39.3,-23.4,,,,,0.03,0,0.03,3,-0.6,0.63,3,3,0,2.1
187,"KEY WEST, FLORIDA","KEY WEST, FL",15.60%,5.6,"25,316",37.00%,37.2,1.9,15.40%,2.6,2.8,2.3,5,2,1,0.4,2.1,4,,,,,,,0.5,2,2.7,1.5,,2,0.4,28.5,2,2.2,2,7.7,2,25.2,39.4,-14.2,,,,,0.17,0.14,0.03,3,-0.6,0.63,3,3,0,1.9
338,"SANTA CRUZ, CALIFORNIA","SANTA CRUZ, CA",12.00%,12.7,"63,993",26.30%,36.5,1.8,15.10%,2.5,3.2,2.4,2,0.3,4,0.2,0.7,4,,,,,,,2,2,2.4,2.1,,3.5,0.7,14.3,1,3.4,1.5,4.5,3,15.2,17.6,-2.4,,,,,0.14,0.1,0.03,3,-0.6,0.63,3,3,0,1.9
308,"REXBURG, IDAHO","REXBURG, ID",4.10%,9.8,"27,369",26.30%,11.5,0.6,12.50%,2.1,2.4,1.5,0.2,0.1,4,0,0,5,,,,,,,2,2.5,2.7,2.3,,1.6,0.3,21.5,2,2.3,2.1,0,0,18.3,,,,,,,0.06,0.02,0.04,3,-0.6,0.64,3,3,0,1.8
192,"LARAMIE, WYOMING","LARAMIE, WY",5.70%,17.7,"32,104",26.30%,20,1,17.20%,2.9,2.8,2.1,1.4,0.4,4,0,0,5,,,,,,,2,2.5,3,2.4,,2.6,0.5,49.1,3,3,3,0,0,49.2,,,,,,,0.08,0.04,0.04,3,-0.6,0.64,3,3,0,2.2
272,"OLYMPIA, WASHINGTON","OLYMPIA, WA",4.00%,17.8,"49,928",26.30%,14.1,0.7,16.20%,2.7,2.5,1.9,2,0.4,4,0,0,5,,,,,,,2,2.5,2.4,2.3,,2.5,0.5,26.9,2,2.7,2.1,12.9,8,23.3,30.4,-7.1,2,-20,12.9,3,0.05,0.03,0.02,3,-0.6,0.62,3.1,3,0,2
717,"KEENE, NEW HAMPSHIRE","KEENE, NH",2.90%,37.2,"23,204",17.20%,15.7,0.8,11.30%,1.9,2.3,1.5,2.6,1.1,2,0.2,7,4,,,,,,,1,2,2.9,1.8,,2.5,0.5,9.3,1,2.8,1.4,0,0,7.6,,,,,,,0.05,0.01,0.04,3,-0.6,0.64,3,3,0,1.6
367,"STEAMBOAT SPRINGS, COLORADO","STEAMBOAT SPRINGS, CO",8.00%,10.1,"12,520",26.30%,22.9,1.1,13.10%,2.2,3.1,2,0.2,0.2,4,0,0,5,,,,,,,2,2.5,3.2,2.4,,3.4,0.7,9.9,1,4.2,1.6,0,0,8.5,,,,,,,0.1,0.06,0.04,3,-0.6,0.64,3,3,0,1.9
82,"CLEMSON, SOUTH CAROLINA","CLEMSON, SC",2.80%,7.4,"15,375",37.00%,7.4,0.4,10.70%,1.8,2.1,1.3,0,0,5,0,0,5,,,,,,,2.5,2.5,2.2,2.4,,1.8,0.4,23.3,2,2.2,2,11.8,2,17.6,20.5,-2.9,,,,,0.05,0,0.04,3,-0.6,0.64,3,3,0,1.8
263,"NORTHAMPTON, MASSACHUSETTS","NORTHAMPTON, MA",5.00%,34.2,"28,548",17.20%,25.7,1.3,13.50%,2.3,2.5,1.9,0.8,0.3,4,0,0,5,,,,,,,2,2.5,3.1,2.4,,2.8,0.6,27,2,3,2.2,9.1,2,21.4,16.9,4.5,,,,,0.08,0.02,0.05,3,-0.6,0.65,3,3,0,2
677,"ATHENS, OHIO","ATHENS, OH",6.60%,9.8,"24,486",26.30%,18.7,0.9,11.10%,1.8,2.4,1.6,1.2,0.5,3,0,0,5,8,3.3,2,0,0,5,2.5,5,3.1,3.6,1.2,2.8,1.5,44.9,3,3.1,3,10.5,2,30.1,27.8,2.3,,,,,0.09,0.04,0.06,3,-0.6,0.66,2.9,2.9,0.5,3
925,"MILL VALLEY, CALIFORNIA","MILL VALLEY, CA",5.60%,4.8,"14,392",37.00%,12.7,0.6,19.50%,3.2,2.9,2.1,0.2,0.1,4,0,0,5,,,,,,,2,2.5,2.7,2.3,,3.1,0.6,34.9,2,3.1,2.2,0,0,26.2,,,,,,,0.09,0.02,0.06,3,-0.6,0.66,2.9,2.9,0,2.1
